,longitude,latitude,Depth,NO3
0,41.83888888888889,11.130555555555556,,12.0
1,41.85013888888889,11.703416666666666,,23.02
2,41.8669,11.685625,,2.123
3,41.869305555555556,11.1135,,1.57
4,41.86933333333334,11.1135,,1.65
5,41.86944444444445,11.113777777777777,,8.3
6,41.86961111111111,11.113083333333332,,0.95
7,41.86997222222222,11.112972222222222,,3.36
8,41.870194444444444,11.112916666666667,,3.83
9,41.870333333333335,11.113833333333332,,0.99
10,41.87502777777778,11.113777777777777,,0.61
11,41.8775,11.114055555555556,,4.6
12,41.879,11.1485,,0.34
13,41.879083333333334,11.148527777777778,,37.0
14,41.87913888888889,11.148527777777778,,0.32
15,41.880611111111115,11.148055555555555,,2.31
16,41.881083333333336,11.14811111111111,,1.46
17,41.88133333333333,11.147472222222222,,0.77
18,41.88169444444444,11.144833333333333,,0.62
19,41.88596666666667,11.671730555555555,,1.72
20,41.89013888888889,11.105777777777778,,0.9
21,41.89497222222222,11.102416666666667,,1.2
22,41.90893888888889,11.564180555555556,,4.39
23,41.91082222222222,11.652583333333334,,1.93
24,41.91798333333333,11.65,,2.754
25,41.92520277777778,11.64348888888889,,2.195
26,41.937466666666666,11.513102777777778,,5.516
27,41.949774999999995,11.654486111111112,,12.54
28,41.951036111111115,11.625502777777779,,5.83
29,41.96333055555556,11.01713888888889,9.0,19.3
30,41.976980555555556,11.60841111111111,,1.46
31,42.05416666666667,11.80388888888889,12.0,50.58
32,42.07853055555556,11.398824999999999,,17.31
33,42.08555555555556,11.73,8.0,10.4
34,42.085747222222224,11.737499999999999,10.0,15.92
35,42.10527777777778,11.688608333333333,13.0,9.23
36,42.10916666666667,11.702388888888889,9.0,43.0
37,42.11017777777778,11.474166666666667,,3.668
38,42.11027777777778,11.720833333333333,10.0,2.12
39,42.115,11.669138888888888,10.0,110.18
40,42.13913888888889,11.358336111111111,,10.46
41,42.13970277777778,11.760419444444445,,22.52
42,42.168055555555554,11.118027777777778,,8.0
43,42.22327777777778,11.283305555555556,13.0,9.91
44,42.24604807227888,11.092606984091365,10.78,12.4
45,42.24616666666667,11.092666666666668,,7.3
46,42.25694444444444,12.04861111111111,,6.27
47,42.25941666666667,11.209416666666666,,21.5
48,42.26027777777778,12.067222222222222,,8.65
49,42.26154047912632,11.208116170949632,80.0,37.199999999999996
50,42.2625,12.047222222222222,,4.56
51,42.263888888888886,12.075555555555557,,5.8
52,42.269999999999996,12.034166666666668,,1.99
53,42.270833333333336,12.033333333333333,,9.01
54,42.27166666666667,12.033333333333333,,11.9
55,42.272938054757354,11.136117293073449,6.7,9.92
56,42.27752777777778,11.452305555555554,,25.7
57,42.27944166666666,11.96888888888889,12.0,25.8
58,42.279870844922605,11.151059902175088,47.0,6.2
59,42.28288640525521,11.126811677633848,7.83,55.800000000000004
60,42.28361111111111,11.954444444444444,,8.04
61,42.28444444444444,11.938333333333334,,3.91
62,42.28527777777778,11.935277777777777,,7.3
63,42.286944444444444,12.044444444444444,,13.9
64,42.2875,12.043888888888889,,12.3
65,42.288333333333334,11.938888888888888,,12.6
66,42.28888888888889,12.020833333333334,,8.9
67,42.29055555555556,11.951944444444445,,4.77
68,42.29083333333333,11.949722222222222,,5.11
69,42.29083333333333,11.950277777777778,,5.3
70,42.29083333333333,11.951666666666666,,16.7
71,42.29222222222222,11.945833333333333,,2.03
72,42.2925,11.945277777777777,,5.25
73,42.293055555555554,11.945,,8.43
74,42.29333333333333,11.944444444444445,,12.1
75,42.29361111111111,11.943611111111112,,5.16
76,42.29388888888889,11.943333333333333,,4.07
77,42.29416666666666,11.9325,,0.81
78,42.29861111111111,11.981666666666667,,14.2
79,42.29861111111111,11.993611111111111,,5.32
80,42.300555555555555,12.040833333333333,,19.3
81,42.30166666666666,11.958055555555555,,7.93
82,42.301944444444445,11.948055555555555,,4.94
83,42.30222222222222,11.956944444444444,,7.83
84,42.302499999999995,11.9475,,3.75
85,42.302499999999995,12.039166666666668,,14.8
86,42.30361111111111,11.9475,,5.16
87,42.303888888888885,11.937222222222221,,5.32
88,42.30472222222222,11.959999999999999,,3.94
89,42.30472222222222,11.961944444444443,,6.73
90,42.305,11.951388888888888,,4.73
91,42.305,11.960277777777778,,5.27
92,42.305,12.036944444444446,,10.3
93,42.306666666666665,11.96,,7.2
94,42.30713437934657,11.166005352426518,2.68,71.3
95,42.30777777777777,12.044166666666667,,17.2
96,42.309444444444445,12.043055555555556,,14.1
97,42.31027777777778,12.033333333333335,,15.7
98,42.31055555555555,12.033055555555556,,16.3
99,42.310833333333335,12.041944444444445,,14.0
100,42.310833333333335,12.042222222222223,,7.18
101,42.315,12.026666666666667,,16.1
102,42.318888888888885,12.016944444444444,,19.1
103,42.318888888888885,12.025,,16.5
104,42.31944444444444,12.016944444444444,,13.9
105,42.323055555555555,12.017777777777777,,28.3
106,42.325833333333335,11.92611111111111,,24.8
107,42.32638888888889,12.014166666666666,,14.9
108,42.32694444444445,12.01361111111111,,15.2
109,42.32777777777778,12.01388888888889,,18.6
110,42.328611111111115,12.011666666666667,,12.3
111,42.330000000000005,12.010833333333334,,15.5
112,42.33027777777778,12.010277777777778,,17.4
113,42.33027777777778,12.011388888888888,,15.3
114,42.330555555555556,12.009722222222223,,18.9
115,42.330555555555556,12.0125,,14.8
116,42.33083333333334,11.916666666666666,,9.92
117,42.33083333333334,12.009722222222223,,11.8
118,42.33222222222223,12.009166666666667,,24.6
119,42.33305555555556,12.007222222222222,,12.1
120,42.33361111111111,11.902222222222223,,17.0
121,42.33361111111111,11.9025,,13.4
122,42.33388888888889,11.920277777777779,,29.8
123,42.33388888888889,11.921944444444446,,12.8
124,42.33444444444444,11.900277777777777,,11.5
125,42.33444444444445,12.007222222222222,,15.2
126,42.33527777777778,11.910555555555556,,20.5
127,42.33583333333333,11.918055555555556,,6.97
128,42.33663266898846,11.016616037164985,4.5,94.24
129,42.33694444444445,11.906666666666666,,10.9
130,42.33777777777778,12.00388888888889,,13.3
131,42.33777777777778,12.004444444444445,,15.4
132,42.338055555555556,11.904444444444444,,11.9
133,42.33833333333334,11.903888888888888,,9.94
134,42.338888888888896,11.9125,,13.8
135,42.33916666666667,12.001944444444444,,14.6
136,42.34055555555556,11.995833333333332,,2.64
137,42.34471944444444,12.087777777777779,10.0,31.31
138,42.35650758101741,11.076601640604508,60.0,83.08
139,42.36245209440951,11.091010319244775,120.0,37.199999999999996
140,42.37105732615514,11.096425246728447,102.0,99.2
141,42.37411224453205,11.04106667143025,123.0,55.800000000000004
142,42.384842636568095,11.105734017002893,141.0,76.88
143,42.43175,11.206669444444444,150.0,47.3
144,42.43175,11.20667,150.0,47.3
145,42.45138888888889,11.227219444444444,12.0,107.74
146,42.45277777777778,12.147777777777778,,45.4
147,42.46913888888889,11.230277777777777,11.0,1.55
148,42.47249722222222,11.202747222222222,9.0,74.55
149,42.49930609034837,11.165114933277934,115.0,104.16
150,42.50116495890848,11.17138329135346,168.0,99.2
151,42.501666666666665,11.268691666666667,13.0,27.43
152,42.501777777777775,11.268691666666667,11.0,23.46
153,42.50277777777778,12.180555555555555,304.0,7.68
154,42.504419444444444,11.1654,140.0,75.8
155,42.50442,11.1654,140.0,75.8
156,42.504558333333335,11.16525,115.0,79.6
157,42.50456,11.16525,115.0,79.6
158,42.5125,11.75,10.0,33.23
159,42.52110833333333,11.26838888888889,9.0,32.16
160,42.52780833333333,11.145108333333333,139.0,33.8
161,42.52781,11.14511,139.0,33.8
162,42.52811993339819,11.143766974189893,129.0,37.199999999999996
163,42.5281293121445,11.143739943219236,94.0,65.10000000000001
164,42.53030727567699,11.105715879601762,7.0,45.88
165,42.54679777687962,11.127167163686664,11.0,93.0
166,42.54682530053666,11.127158352218922,11.0,92.38
167,42.56919166666667,11.180555555555555,8.0,40.77
168,42.58324722222223,11.29443888888889,156.0,247.5
169,42.58325,11.29444,156.0,247.5
170,42.59638888888889,11.168330555555555,11.0,15.37
171,42.59721944444445,11.786111111111111,8.0,28.0
172,42.61177777777778,11.19593888888889,195.0,71.0
173,42.61178,11.19594,195.0,71.0
174,42.612337443572805,11.19471058387045,195.0,117.8
175,42.64632777777778,11.214827777777778,93.0,59.1
176,42.64633,11.21483,93.0,59.1
177,42.64671861946266,11.213454594422338,102.0,102.92
178,42.65043333333333,11.097100000000001,155.0,116.1
179,42.65139016189478,11.21303957588095,103.0,71.3
180,42.651719444444446,11.213077777777777,103.0,55.1
181,42.65172,11.21308,103.0,55.1
182,42.65221944444444,11.135469444444444,11.0,27.62
183,42.65277777777778,11.917258333333333,11.0,56.87
184,42.663888888888884,11.249169444444444,90.0,130.0
185,42.66389,11.24917,90.0,130.0
186,42.66638888888889,11.833330555555555,9.0,25.28
187,42.66638888888889,11.833925,12.0,47.17
188,42.66638888888889,11.836111111111112,14.0,22.0
189,42.66785833333333,11.213108333333333,150.0,49.8
190,42.66786,11.21311,150.0,49.8
191,42.67157777777778,11.207827777777776,190.0,255.7
192,42.67158,11.20783,19.0,255.7
193,42.671955845291095,11.206423101883491,120.0,99.2
194,42.672219444444444,11.33,161.0,122.0
195,42.67222,11.33,161.0,122.0
196,42.68055277777778,11.820830555555556,11.0,16.92
197,42.68512777777777,11.117647222222223,15.0,10.1
198,42.685566666666666,11.118708333333334,14.0,62.8
199,42.685849999999995,11.118722222222223,12.0,33.7
200,42.69583055555555,11.149719444444443,10.0,20.92
201,42.696299999999994,11.282669444444446,168.0,62.0
202,42.6963,11.28267,168.0,62.0
203,42.69910833333333,11.301527777777778,181.0,50.8
204,42.69911,11.30153,181.0,50.8
205,42.704883333333335,11.13225,146.0,3.4
206,42.71093333333334,11.1383,138.0,4.2
207,42.71253333333333,11.13655,130.0,2.7
208,42.713055555555556,11.149441666666666,8.0,9.23
209,42.718808333333335,11.258138888888888,114.0,142.0
210,42.71881,11.25814,114.0,142.0
211,42.72971944444445,11.669166666666666,12.0,20.3
212,42.73194166666667,11.841666666666667,8.0,9.1
213,42.743608333333334,11.796941666666667,8.0,16.02
214,42.744166666666665,11.960830555555555,15.0,14.0
215,42.75232777777778,11.351219444444444,155.0,119.0
